TEAM_INDEX,OLINE_POSITION,O_LINE_SCORE,TEAM
1,LT,86.4,PHILADELPHIA
1,LG,74.8,PHILADELPHIA
1,CC,91.3,PHILADELPHIA
1,RG,88.3,PHILADELPHIA
1,RT,86.2,PHILADELPHIA
2,LT,79.7,DALLAS
2,LG,85.7,DALLAS
2,CC,90.8,DALLAS
2,RG,92.2,DALLAS
2,RT,50.7,DALLAS
3,LT,80.8,ATLANTA
3,LG,78,ATLANTA
3,CC,88.9,ATLANTA
3,RG,76,ATLANTA
3,RT,77.5,ATLANTA
4,LT,74.2,PITTSBURG
4,LG,48.1,PITTSBURG
4,CC,54.6,PITTSBURG
4,RG,91.7,PITTSBURG
4,RT,81.5,PITTSBURG
5,LT,80.1,TENNESSEE
5,LG,73.6,TENNESSEE
5,CC,74,TENNESSEE
5,RG,75.8,TENNESSEE
5,RT,81.8,TENNESSEE
6,LT,78.2,NEW ORLEANS
6,LG,46.9,NEW ORLEANS
6,CC,50,NEW ORLEANS
6,RG,76.7,NEW ORLEANS
6,RT,84.2,NEW ORLEANS
7,LT,78.8,OAKLAND
7,LG,78.1,OAKLAND
7,CC,81.6,OAKLAND
7,RG,69.1,OAKLAND
7,RT,87.5,OAKLAND
8,LT,60.5,DETROIT
8,LG,93.7,DETROIT
8,CC,76.1,DETROIT
8,RG,79.1,DETROIT
8,RT,81.9,DETROIT
9,LT,89.9,GREEN BAY
9,LG,68.7,GREEN BAY
9,CC,51.7,GREEN BAY
9,RG,40.4,GREEN BAY
9,RT,68.9,GREEN BAY
10,LT,79.8,LOS ANGELES RAMS
10,LG,84.6,LOS ANGELES RAMS
10,CC,74.6,LOS ANGELES RAMS
10,RG,52.1,LOS ANGELES RAMS
10,RT,77.9,LOS ANGELES RAMS
11,LT,79.3,NEW ENGLAND
11,LG,88.1,NEW ENGLAND
11,CC,81.8,NEW ENGLAND
11,RG,81.1,NEW ENGLAND
11,RT,78.1,NEW ENGLAND
12,LT,82.1,WASHINGTON REDSKINS
12,LG,37.9,WASHINGTON REDSKINS
12,CC,56,WASHINGTON REDSKINS
12,RG,83.2,WASHINGTON REDSKINS
12,RT,70.5,WASHINGTON REDSKINS
13,LT,80.4,CHICAGO
13,LG,89,CHICAGO
13,CC,74.2,CHICAGO
13,RG,73,CHICAGO
13,RT,69.9,CHICAGO
14,LT,53,CLEVELAND
14,LG,85.2,CLEVELAND
14,CC,70.5,CLEVELAND
14,RG,81.1,CLEVELAND
14,RT,69.6,CLEVELAND
15,LT,37.6,JACKSONVILLE
15,LG,88.8,JACKSONVILLE
15,CC,84.7,JACKSONVILLE
15,RG,52.5,JACKSONVILLE
15,RT,79,JACKSONVILLE
16,LT,87.4,SAN FRANCISCO
16,LG,70.7,SAN FRANCISCO
16,CC,71.3,SAN FRANCISCO
16,RG,39.6,SAN FRANCISCO
16,RT,90.6,SAN FRANCISCO
17,LT,82,INDIANAPOLIS
17,LG,95.1,INDIANAPOLIS
17,CC,39.9,INDIANAPOLIS
17,RG,45,INDIANAPOLIS
17,RT,71.6,INDIANAPOLIS
18,LT,70.4,KANSAS CITY
18,LG,40.6,KANSAS CITY
18,CC,44.9,KANSAS CITY
18,RG,78.2,KANSAS CITY
18,RT,80,KANSAS CITY
19,LT,68.8,DENVER
19,LG,81.2,DENVER
19,CC,75.2,DENVER
19,RG,40.2,DENVER
19,RT,54.3,DENVER
20,LT,59.5,MIAMI
20,LG,86,MIAMI
20,CC,51,MIAMI
20,RG,40.2,MIAMI
20,RT,80,MIAMI
21,LT,50.8,CAROLINA
21,LG,45.2,CAROLINA
21,CC,46.6,CAROLINA
21,RG,76.7,CAROLINA
21,RT,86.5,CAROLINA
22,LT,51.9,TAMPA BAY
22,LG,79,TAMPA BAY
22,CC,74.9,TAMPA BAY
22,RG,42.5,TAMPA BAY
22,RT,85,TAMPA BAY
23,LT,77.4,LOS ANGELES CHARGERS
23,LG,48.5,LOS ANGELES CHARGERS
23,CC,46.5,LOS ANGELES CHARGERS
23,RG,91.7,LOS ANGELES CHARGERS
23,RT,50.7,LOS ANGELES CHARGERS
24,LT,76.2,BALTIMORE
24,LG,45.6,BALTIMORE
24,CC,37.3,BALTIMORE
24,RG,84.4,BALTIMORE
24,RT,42.4,BALTIMORE
25,LT,75.7,NEW YORK GIANTS
25,LG,91.4,NEW YORK GIANTS
25,CC,44,NEW YORK GIANTS
25,RG,53.6,NEW YORK GIANTS
25,RT,51.5,NEW YORK GIANTS
26,LT,68.1,CINCINNATI
26,LG,75.5,CINCINNATI
26,CC,83.8,CINCINNATI
26,RG,48.3,CINCINNATI
26,RT,46.2,CINCINNATI
27,LT,48.6,MINNESOTA
27,LG,41.5,MINNESOTA
27,CC,43.2,MINNESOTA
27,RG,69.6,MINNESOTA
27,RT,43.6,MINNESOTA
28,LT,74.5,BUFFALO
28,LG,75.5,BUFFALO
28,CC,46.8,BUFFALO
28,RG,39.1,BUFFALO
28,RT,65.7,BUFFALO
29,LT,77.9,SEATTLE
29,LG,35.7,SEATTLE
29,CC,66.9,SEATTLE
29,RG,42.3,SEATTLE
29,RT,48.6,SEATTLE
30,LT,72.7,NEW YORK JETS
30,LG,41.1,NEW YORK JETS
30,CC,56,NEW YORK JETS
30,RG,36.8,NEW YORK JETS
30,RT,65.3,NEW YORK JETS
31,LT,47.6,TEXANS
31,LG,68.8,TEXANS
31,CC,44.9,TEXANS
31,RG,48.3,TEXANS
31,RT,71.1,TEXANS
